epoch	0	10	20	30	40	50	avg
1	0.551	0.5263	0.5065	0.3225	0.1434	0.1565	0.3677
2	0.6308	0.6057	0.5789	0.3545	0.2195	0.1976	0.431166667
3	0.6809	0.6393	0.6294	0.3796	0.2195	0.1976	0.457716667
4	0.7624	0.6684	0.6294	0.3796	0.2195	0.1976	0.47615
5	0.7624	0.662	0.6294	0.3796	0.2195	0.1976	0.475083333
6	0.7977	0.7173	0.6294	0.4275	0.2195	0.1976	0.498166667
7	0.7977	0.7173	0.6294	0.4275	0.2195	0.1976	0.498166667
8	0.7977	0.7173	0.6294	0.4275	0.2195	0.1976	0.498166667
9	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
10	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
11	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
12	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
13	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
14	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
15	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
16	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
17	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
18	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
19	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
20	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
21	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
22	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
23	0.7977	0.7537	0.6294	0.4558	0.2279	0.1976	0.51035
24	0.7977	0.7537	0.6294	0.4558	0.2922	0.1976	0.521066667
25	0.7977	0.7537	0.6294	0.4558	0.2922	0.1976	0.521066667
26	0.7977	0.7537	0.6294	0.4558	0.2922	0.1976	0.521066667
27	0.7977	0.7537	0.6504	0.6056	0.4345	0.2851	0.587833333
28	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
29	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
30	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
31	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
32	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
33	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
34	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
35	0.8169	0.7537	0.6504	0.6056	0.4345	0.2851	0.591033333
36	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
37	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
38	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
39	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
40	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
41	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
42	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
43	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
44	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
45	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
46	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
47	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
48	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
49	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
50	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
51	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
52	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
53	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
54	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
55	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
56	0.8169	0.7543	0.6504	0.6056	0.4345	0.2851	0.591133333
57	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
58	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
59	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
60	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
61	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
62	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
63	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
64	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
65	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
66	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
67	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
68	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
69	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
70	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
71	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
72	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
73	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
74	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
75	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
76	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
77	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
78	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
79	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
80	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
81	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
82	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
83	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
84	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
85	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
86	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
87	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
88	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
89	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
90	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
91	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
92	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
93	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
94	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
95	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
96	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
97	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
98	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
99	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
100	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
101	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
102	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
103	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
104	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
105	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
106	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
107	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
108	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
109	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
110	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
111	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
112	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
113	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
114	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
115	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
116	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
117	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
118	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
119	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
120	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
121	0.8169	0.7707	0.6504	0.6056	0.4345	0.2851	0.593866667
